name,n_z,link,ads,catalog_file,catalog_readme
AGES,18000,http://cmb.as.arizona.edu/~eisenste/AGES/index.html,2012ApJS..200....8K,,
CfA2,18000,https://www.cfa.harvard.edu/~dfabricant/huchra/zcat/,1999PASP..111..438F,,
CNOC2,6000,http://www.astro.utoronto.ca/~cnoc/cnoc2.html,2000ApJS..129..475Y,,
DEEP2,38000,http://deep.berkeley.edu/,2003SPIE.4834..161D,,
GAMA,300000,http://www.eso.org/~jliske/gama/,2010MNRAS.404...86B,,
LCRS,26000,http://qold.astro.utoronto.ca/~lin/lcrs.html,1996ApJ...470..172S,,
MGC,10000,http://www.eso.org/~jliske/mgc/,2003MNRAS.344..307L,,
6dFGS,125000,http://www-wfau.roe.ac.uk/6dFGS/,2009MNRAS.399..683J,http://www-wfau.roe.ac.uk/6dFGS/6dFGSzDR3.txt.gz,http://www-wfau.roe.ac.uk/6dFGS/download.html
SDSS,1000000,http://www.sdss.org/,,http://data.sdss3.org/sas/dr10/sdss/spectro/redux/specObj-dr10.fits,http://www.sdss3.org/dr10/data_access/bulk.php;http://data.sdss3.org/datamodel/files/SPECTRO_REDUX/specObj.html
SSRS2,5400,,1998AJ....116....1D,,
2dFGRS,220000,http://www.mso.anu.edu.au/2dFGRS/,2001MNRAS.328.1039C,http://www.2dfgrs.net/Public/Release/SpecCat/best.observations.idz.gz,http://www.2dfgrs.net/Public/Release/SpecCat/speccat.html
2SLAQ,13000,http://www.2slaq.info/,2006MNRAS.372..425C,,
2MRS,43500,http://cfa-www.harvard.edu/~huchra/2mass/,2012ApJS..199...26H,,
VIPERS,100000,http://vipers.inaf.it/,2014A%26A...562A..23G,http://vipers.inaf.it/data/pdr1/catalogs/VIPERS_W1_SPECTRO_PDR1.fits.gz;http://vipers.inaf.it/data/pdr1/catalogs/VIPERS_W4_SPECTRO_PDR1.fits.gz,http://vipers.inaf.it/data/pdr1/catalogs/README_VIPERS_SPECTRO_PDR1.txt
VVDS-wide,35000,http://www.oamp.fr/virmos/vvds.htm,2008A%26A...486..683G,,
VVDS-deep,12000,http://www.oamp.fr/virmos/vvds.htm,2005A%26A...439..845L,,
VVDS-ultradeep,1000,http://www.oamp.fr/virmos/vvds.htm,2005A%26A...439..845L,,
zCOSMOS,30000,http://www.exp-astro.phys.ethz.ch/zCOSMOS/,2007ApJS..172...70L,,
